,IsCanceled
2015-07-05,4.442651256490317
2015-07-12,4.110873864173311
2015-07-19,4.820281565605037
2015-07-26,4.897839799950911
2015-08-02,4.343805421853684
2015-08-09,5.627621113690637
2015-08-16,5.968707559985366
2015-08-23,5.605802066295998
2015-08-30,5.455321115357702
2015-09-06,6.089044875446846
2015-09-13,6.063785208687608
2015-09-20,6.2766434893416445
2015-09-27,6.2285110035911835
2015-10-04,6.082218910376446
2015-10-11,6.2166061010848646
2015-10-18,6.210600077024653
2015-10-25,6.129050210060545
2015-11-01,5.777652323222656
2015-11-08,5.303304908059076
2015-11-15,4.9344739331306915
2015-11-22,5.673323267171493
2015-11-29,5.579729825986222
2015-12-06,5.645446897643238
2015-12-13,5.043425116919247
2015-12-20,4.859812404361672
2015-12-27,5.288267030694535
2016-01-03,5.869296913133774
2016-01-10,5.10594547390058
2016-01-17,5.135798437050262
2016-01-24,5.459585514144159
2016-01-31,5.455321115357702
2016-02-07,5.733341276897746
2016-02-14,5.8888779583328805
2016-02-21,5.924255797414532
2016-02-28,5.8971538676367405
2016-03-06,6.0063531596017325
2016-03-13,6.082218910376446
2016-03-20,6.129050210060545
2016-03-27,6.0112671744041615
2016-04-03,6.0112671744041615
2016-04-10,6.210600077024653
2016-04-17,6.180016653652572
2016-04-24,6.169610732491456
2016-05-01,6.111467339502679
2016-05-08,6.171700597410915
2016-05-15,6.22455842927536
2016-05-22,6.375024819828097
2016-05-29,6.208590026096629
2016-06-05,6.124683390894205
2016-06-12,6.306275286948016
2016-06-19,6.240275845170769
2016-06-26,6.335054251498059
2016-07-03,6.089044875446846
2016-07-10,6.118097198041348
2016-07-17,6.1224928095143865
2016-07-24,6.253828811575473
2016-07-31,6.161207321695077
2016-08-07,6.169610732491456
2016-08-14,6.1675164908883415
2016-08-21,6.285998094508865
2016-08-28,6.1092475827643655
2016-09-04,6.12029741895095
2016-09-11,6.1463292576688975
2016-09-18,6.376726947898627
2016-09-25,6.3473892096560105
2016-10-02,6.274762021241939
2016-10-09,6.2285110035911835
2016-10-16,6.405228458030842
2016-10-23,6.111467339502679
2016-10-30,6.261491684321042
2016-11-06,6.049733455231958
2016-11-13,6.111467339502679
2016-11-20,5.973809611869261
2016-11-27,6.07073772800249
2016-12-04,5.811140992976701
2016-12-11,5.8522024797744745
2016-12-18,5.438079308923196
2016-12-25,5.5053315359323625
2017-01-01,6.0844994130751715
2017-01-08,5.736572297479192
2017-01-15,5.631211781821365
2017-01-22,5.817111159963204
2017-01-29,5.602118820879701
2017-02-05,5.7745515455444085
2017-02-12,5.7899601708972535
2017-02-19,6.0473721790462776
2017-02-26,6.238324625039508
2017-03-05,6.063785208687608
2017-03-12,6.126869184114185
2017-03-19,6.246106765481563
2017-03-26,6.186208623900494
2017-04-02,6.139884552226255
2017-04-09,6.192362489474872
2017-04-16,6.139884552226255
2017-04-23,6.07993319509559
2017-04-30,6.194405391104672
2017-05-07,6.257667587882639
2017-05-14,6.302618975744905
2017-05-21,6.234410725718371
2017-05-28,6.331501849893691
2017-06-04,6.206575926724928
2017-06-11,6.244166900663736
2017-06-18,6.161207321695077
2017-06-25,6.222576268071369
2017-07-02,6.20455776256869
2017-07-09,6.306275286948016
2017-07-16,6.324358962381311
2017-07-23,6.1463292576688975
2017-07-30,6.137727054086234
2017-08-06,6.113682179832232
2017-08-13,6.091309882077698
2017-08-20,6.142037405587356
2017-08-27,6.156978985585555
2017-09-03,5.5134287461649825
